STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,Year,Value
Criminal Code Offences,Capital,RCMP Municipal,Langford Mun,2006,2990.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley City Mun,2006,4418.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley Township Mun,2006,9643.0
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Lillooet Prov,2006,505.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,2006,501.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Logan Lake Prov,2006,220.0
Criminal Code Offences,North Okanagan,RCMP Provincial,Lumby Prov,2006,382.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Lytton Prov,2006,347.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Mackenzie Prov,2006,518.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Maple Ridge Mun,2006,8239.0
Criminal Code Offences,North Coast Regional District (22),RCMP Provincial,Masset Prov,2006,672.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,McBride Prov,2006,224.0
Criminal Code Offences,Thompson Nicola,RCMP Municipal,Merritt Mun,2006,1774.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Merritt Prov,2006,422.0
Criminal Code Offences,Fraser Valley,RCMP Municipal,Mission Mun,2006,5048.0
Criminal Code Offences,Fraser Valley,RCMP Provincial,Mission Prov,2006,556.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Nakusp Prov,2006,266.0
Criminal Code Offences,Nanaimo,RCMP Municipal,Nanaimo Mun,2006,13624.0
Criminal Code Offences,Nanaimo,RCMP Provincial,Nanaimo Prov,2006,935.0
Criminal Code Offences,Central Kootenay,Independent Municipal,Nelson Mun,2006,1161.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Nelson Prov,2006,423.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,2006,1010.0
Criminal Code Offences,Metro Vancouver,Independent Municipal,New Westminster Mun,2006,7796.0
Criminal Code Offences,Strathcona,RCMP Provincial,Nootka Sound Prov,2006,299.0
Criminal Code Offences,Cowichan Valley,RCMP Municipal,North Cowichan Mun,2006,2772.0
Criminal Code Offences,Capital,RCMP Municipal,North Saanich Mun,2006,418.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,North Vancouver City Mun,2006,4699.0
