Number of Other Criminal Code Offences,,,,,,,,,,,,
Okanagan Similkameen,RCMP Provincial,Keremeos Prov,61,96,56,131,61,118,53,53,102,121
East Kootenay,RCMP Municipal,Kimberley Mun,105,95,120,79,65,57,66,31,23,50
East Kootenay,RCMP Provincial,Kimberley Prov,22,23,14,18,19,6,8,7,4,11
Kitimat Stikine,RCMP Municipal,Kitimat Mun,143,287,238,321,287,338,312,284,270,212
Kitimat Stikine,RCMP Provincial,Kitimat Prov,21,14,10,15,21,12,7,13,11,11
Cowichan Valley,RCMP Municipal,Ladysmith Mun,75,67,85,91,81,90,75,67,101,141
Cowichan Valley,RCMP Provincial,Ladysmith Prov,50,61,50,62,41,39,55,52,46,78
Central Okanagan,RCMP Municipal,Lake Country Mun,141,170,124,91,99,88,123,56,63,107
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,244,134,122,142,101,98,79,96,78,119
Capital,RCMP Municipal,Langford Mun,426,229,200,275,261,241,264,245,271,247
Metro Vancouver,RCMP Municipal,Langley City Mun,"1,078",802,858,791,907,920,957,985,"1,075","1,462"
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"1,412","1,298","1,191",972,"1,256","1,241","1,303","1,232","1,418","1,585"
Squamish Lillooet,RCMP Provincial,Lillooet Prov,190,138,172,216,208,176,170,125,88,89
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,202,250,199,204,178,122,126,142,74,89
Thompson Nicola,RCMP Provincial,Logan Lake Prov,43,49,28,29,35,35,27,29,37,24
North Okanagan,RCMP Provincial,Lumby Prov,46,35,53,35,37,33,59,53,40,36
Thompson Nicola,RCMP Provincial,Lytton Prov,112,152,168,55,76,67,51,45,51,59
Fraser Fort George,RCMP Provincial,Mackenzie Prov,138,125,93,77,141,164,243,164,160,158
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"1,845","2,019","1,842","1,579","1,396","1,543","1,526","1,576","1,830","2,237"
North Coast Regional District (22),RCMP Provincial,Masset Prov,245,252,281,222,149,103,95,75,115,101
Fraser Fort George,RCMP Provincial,McBride Prov,48,23,27,23,20,14,26,18,39,35
Thompson Nicola,RCMP Municipal,Merritt Mun,468,556,483,419,327,313,314,294,215,242
Thompson Nicola,RCMP Provincial,Merritt Prov,115,95,84,80,62,62,56,42,54,57
Fraser Valley,RCMP Municipal,Mission Mun,"1,304","1,077",979,755,716,712,759,727,864,"1,164"
Fraser Valley,RCMP Provincial,Mission Prov,103,55,54,67,65,39,53,57,46,51
Central Kootenay,RCMP Provincial,Nakusp Prov (5),68,62,51,56,65,25,43,39,31,43
Nanaimo,RCMP Municipal,Nanaimo Mun (1),"3,374","2,775","2,228","2,984","2,925","2,455","2,503","2,108","1,854","1,893"
Nanaimo,RCMP Provincial,Nanaimo Prov,204,123,90,86,86,79,64,76,53,70
Central Kootenay,Independent Municipal,Nelson Mun,188,167,199,159,206,211,238,172,154,131
