Number of Drug Offences (CDSA),,,,,,,,,,,,
Kitimat Stikine,RCMP Municipal,Kitimat Mun,65,65,43,21,31,39,60,64,54,34
Kitimat Stikine,RCMP Provincial,Kitimat Prov,8,7,6,3,5,1,4,9,5,7
Cowichan Valley,RCMP Municipal,Ladysmith Mun,23,39,25,49,45,39,32,39,60,28
Cowichan Valley,RCMP Provincial,Ladysmith Prov,37,30,38,22,28,15,31,57,33,24
Central Okanagan,RCMP Municipal,Lake Country Mun,32,55,35,51,43,74,66,48,43,34
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,73,46,44,90,82,76,49,50,36,46
Capital,RCMP Municipal,Langford Mun,116,105,115,120,123,142,168,168,142,157
Metro Vancouver,RCMP Municipal,Langley City Mun,283,245,255,287,238,277,247,239,259,279
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),513,727,472,446,444,456,462,406,483,403
Squamish Lillooet,RCMP Provincial,Lillooet Prov,24,40,36,41,77,48,37,44,50,23
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,30,27,21,15,13,2,27,16,11,5
Thompson Nicola,RCMP Provincial,Logan Lake Prov,24,11,14,13,23,22,18,19,13,14
North Okanagan,RCMP Provincial,Lumby Prov,52,49,32,24,22,26,18,18,23,14
Thompson Nicola,RCMP Provincial,Lytton Prov,14,30,29,17,36,17,33,35,30,24
Fraser Fort George,RCMP Provincial,Mackenzie Prov,145,105,38,64,82,93,62,44,61,42
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),349,351,306,218,203,274,291,243,205,267
North Coast Regional District (22),RCMP Provincial,Masset Prov,54,40,13,19,33,27,19,14,7,10
Fraser Fort George,RCMP Provincial,McBride Prov,33,16,14,10,14,12,18,19,19,42
Thompson Nicola,RCMP Municipal,Merritt Mun,111,95,54,70,95,99,143,142,140,95
Thompson Nicola,RCMP Provincial,Merritt Prov,33,26,21,55,60,67,92,71,73,63
Fraser Valley,RCMP Municipal,Mission Mun,216,225,239,286,348,318,365,329,222,171
Fraser Valley,RCMP Provincial,Mission Prov,26,28,17,14,30,27,23,11,13,4
Central Kootenay,RCMP Provincial,Nakusp Prov (5),16,16,17,23,21,41,38,20,16,13
Nanaimo,RCMP Municipal,Nanaimo Mun (1),532,549,629,705,693,622,682,590,604,515
Nanaimo,RCMP Provincial,Nanaimo Prov,16,44,38,37,47,53,49,41,38,36
Central Kootenay,Independent Municipal,Nelson Mun,61,70,72,97,131,155,132,155,74,77
Central Kootenay,RCMP Provincial,Nelson Prov (5),92,67,83,109,99,100,99,48,58,60
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,91,63,94,86,72,46,57,67,58,51
Metro Vancouver,Independent Municipal,New Westminster Mun,549,607,508,394,415,500,400,437,312,320
Strathcona,RCMP Provincial,Nootka Sound Prov,18,24,19,30,53,46,41,49,14,23
Cowichan Valley,RCMP Municipal,North Cowichan Mun,94,114,186,194,231,251,213,169,166,190
Capital,RCMP Municipal,North Saanich Mun,44,44,55,49,30,57,44,42,64,36
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",290,326,254,212,351,366,373,295,264,244
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),227,252,222,207,245,308,241,257,215,187
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",16,27,22,21,42,44,33,34,33,21
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,44,42,63
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),153,121,66,77,84,126,107,24,8,5
Capital,Independent Municipal,Oak Bay Mun,18,20,24,26,23,29,36,30,47,35
Nanaimo,RCMP Provincial,Oceanside Prov ,96,83,52,84,112,116,115,117,124,77
Cariboo,RCMP Provincial,One Hundred Mile House Prov,77,75,106,128,97,89,81,64,73,60
Capital,RCMP Provincial,Outer Gulf  Islands Prov,18,7,2,6,8,6,2,18,6,13
Nanaimo,RCMP Municipal,Parksville Mun,57,78,73,47,60,95,76,64,54,65
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,11,9,6,10
Squamish Lillooet,RCMP Provincial,Pemberton Prov,36,25,73,35,37,40,41,39,55,54
Okanagan Similkameen,RCMP Municipal,Penticton Mun,235,258,228,159,204,244,252,200,228,201
Okanagan Similkameen,RCMP Provincial,Penticton Prov,42,43,40,30,36,21,32,26,38,23
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),38,48,57,34,37,29,39,34,18,43
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,151,128,133,108,102,172,124,116,120,82
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,25,50,31,28,32,41,24,27,27,15
Mount Waddington,RCMP Provincial,Port Alice Prov,15,7,8,8,9,10,4,8,6,11
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),207,218,235,204,271,233,296,271,223,200
Mount Waddington,RCMP Provincial,Port Hardy Prov,81,42,31,29,41,40,36,33,63,26
Mount Waddington,RCMP Provincial,Port McNeill Prov,54,54,38,34,24,70,33,61,35,20
Metro Vancouver,Independent Municipal,Port Moody Mun,123,125,166,162,185,296,249,168,154,123
Powell River,RCMP Municipal,Powell River Mun,123,63,62,61,62,93,79,88,87,66
Powell River,RCMP Provincial,Powell River Prov,53,26,29,27,18,22,24,33,23,11
Fraser Fort George,RCMP Municipal,Prince George Mun,409,455,519,532,588,642,471,526,647,679
Fraser Fort George,RCMP Provincial,Prince George Prov,55,39,52,70,110,87,81,76,65,83
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,151,129,155,146,155,167,117,176,137,163
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),17,19,21,11,10,12,13,24,9,8
Okanagan Similkameen,RCMP Provincial,Princeton Prov,88,62,46,76,56,62,59,49,43,28
Strathcona,RCMP Provincial,Quadra Island Prov,22,43,17,17,27,21,12,12,14,17
Nanaimo,RCMP Municipal,Qualicum Beach Mun,12,26,31,9,18,24,25,11,12,8
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,49,13,22,10,7,12,15,21,33,21
Cariboo,RCMP Municipal,Quesnel Mun,74,114,107,89,117,128,159,161,152,138
Cariboo,RCMP Provincial,Quesnel Prov,24,32,66,44,62,34,60,76,52,40
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,97,90,82,83,102,105,126,167,120,73
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,29,38,41,37,88,115,92,141,117,43
Metro Vancouver,RCMP Municipal,Richmond Mun,960,"1,122","1,086","1,203","1,280","1,167",887,939,779,820
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",3,1,20,46,60,74,73,93,61,7
Capital,Independent Municipal,Saanich Mun,274,278,236,210,218,223,249,229,146,96
Central Kootenay,RCMP Provincial,Salmo Prov (5),39,34,41,89,151,184,121,168,106,105
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,90,109,122,109,174,205,150,149,134,86
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,54,37,28,54,65,61,43,51,35,40
Capital,RCMP Provincial,Saltspring Island Prov,58,75,35,37,45,15,21,12,21,26
Strathcona,RCMP Provincial,Sayward Prov,32,74,46,12,17,13,6,28,14,8
Sunshine Coast,RCMP Municipal,Sechelt Mun,60,95,106,71,63,59,44,51,46,42
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,45,77,101,117,80,105,123,107,74,69
Columbia Shuswap,RCMP Provincial,Sicamous Prov,40,27,24,33,36,39,43,28,15,24
