Number of Criminal Code Offences,,,,,,,,,,,,
Central Kootenay,RCMP Provincial,Kaslo Prov (5),261,175,99,110,100,106,136,218,135,204
Central Okanagan,RCMP Municipal,Kelowna Mun,"15,068","14,865","14,611","14,620","13,654","12,051","12,746","10,737","10,811","12,428"
Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)","3,460","3,429","3,768","1,477","1,386","1,293","1,157","1,064","1,102","1,137"
Fraser Valley,RCMP Municipal,Kent Mun (2),-,-,-,264,402,434,367,340,383,441
Okanagan Similkameen,RCMP Provincial,Keremeos Prov,287,380,377,428,314,451,272,302,436,434
East Kootenay,RCMP Municipal,Kimberley Mun,495,472,578,441,435,409,323,307,221,354
East Kootenay,RCMP Provincial,Kimberley Prov,107,85,69,73,74,76,49,58,54,89
Kitimat Stikine,RCMP Municipal,Kitimat Mun,751,959,"1,008","1,053",945,885,955,931,809,683
Kitimat Stikine,RCMP Provincial,Kitimat Prov,73,64,53,49,59,29,30,41,50,45
Cowichan Valley,RCMP Municipal,Ladysmith Mun,542,571,664,674,678,618,536,393,484,661
Cowichan Valley,RCMP Provincial,Ladysmith Prov,414,362,404,368,331,301,298,241,310,341
Central Okanagan,RCMP Municipal,Lake Country Mun,684,822,803,743,635,587,752,538,573,672
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,837,639,676,642,608,497,349,463,435,474
Capital,RCMP Municipal,Langford Mun,"2,990","2,873","2,564","2,441","2,040","1,777","2,002","1,726","1,736","1,738"
Metro Vancouver,RCMP Municipal,Langley City Mun,"4,418","3,593","3,500","3,498","3,705","3,651","4,018","3,846","3,633","3,931"
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"9,643","9,604","8,138","7,772","8,599","7,855","8,177","7,481","8,706","8,483"
Squamish Lillooet,RCMP Provincial,Lillooet Prov,505,440,440,550,544,475,531,400,325,281
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,501,642,492,513,459,389,407,453,236,313
Thompson Nicola,RCMP Provincial,Logan Lake Prov,220,229,149,181,156,138,135,118,119,130
North Okanagan,RCMP Provincial,Lumby Prov,382,270,395,320,284,240,304,252,211,269
Thompson Nicola,RCMP Provincial,Lytton Prov,347,371,320,183,224,207,199,158,140,194
Fraser Fort George,RCMP Provincial,Mackenzie Prov,518,515,400,336,466,469,608,447,543,470
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"8,239","9,211","7,871","7,182","6,577","5,850","5,896","5,587","6,945","7,809"
North Coast Regional District (22),RCMP Provincial,Masset Prov,672,651,536,507,400,297,316,249,342,314
Fraser Fort George,RCMP Provincial,McBride Prov,224,163,128,109,102,111,111,120,111,122
Thompson Nicola,RCMP Municipal,Merritt Mun,"1,774","1,793","1,650","1,435","1,230","1,172","1,257","1,129","1,039","1,037"
Thompson Nicola,RCMP Provincial,Merritt Prov,422,373,304,328,287,316,311,259,279,287
Fraser Valley,RCMP Municipal,Mission Mun,"5,048","4,790","4,717","3,770","3,870","3,493","3,713","3,437","3,655","4,638"
Fraser Valley,RCMP Provincial,Mission Prov,556,418,395,378,344,313,264,219,230,265
Central Kootenay,RCMP Provincial,Nakusp Prov (5),266,222,227,249,273,184,234,232,203,226
Nanaimo,RCMP Municipal,Nanaimo Mun (1),"13,624","12,431","10,336","11,311","10,459","9,146","9,176","8,697","8,981","8,571"
