Number of Administration of Justice Offences,,,,,,,,,,,,
Kitimat Stikine,RCMP Municipal,Kitimat Mun,56,104,77,87,79,135,129,98,112,62
Kitimat Stikine,RCMP Provincial,Kitimat Prov,6,6,1,1,3,2,1,5,0,3
Cowichan Valley,RCMP Municipal,Ladysmith Mun,20,8,9,7,17,31,17,19,20,36
Cowichan Valley,RCMP Provincial,Ladysmith Prov,12,11,5,7,14,9,16,17,8,17
Central Okanagan,RCMP Municipal,Lake Country Mun,25,31,14,18,12,23,15,9,13,25
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,47,15,8,27,19,15,16,35,49,48
Capital,RCMP Municipal,Langford Mun,62,45,58,52,66,60,85,107,116,100
Metro Vancouver,RCMP Municipal,Langley City Mun,101,79,75,84,109,107,118,102,65,77
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),216,115,132,126,125,157,162,150,140,146
Squamish Lillooet,RCMP Provincial,Lillooet Prov,42,26,24,36,49,54,55,51,20,36
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,54,70,88,94,59,16,11,19,6,15
Thompson Nicola,RCMP Provincial,Logan Lake Prov,10,10,6,3,3,11,4,4,2,13
North Okanagan,RCMP Provincial,Lumby Prov,14,6,13,10,9,9,14,14,12,13
Thompson Nicola,RCMP Provincial,Lytton Prov,22,19,9,14,35,9,10,6,14,17
Fraser Fort George,RCMP Provincial,Mackenzie Prov,45,46,29,27,44,74,91,69,79,55
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),272,126,170,189,131,187,162,172,141,209
North Coast Regional District (22),RCMP Provincial,Masset Prov,38,43,61,44,32,27,29,26,59,45
Fraser Fort George,RCMP Provincial,McBride Prov,7,1,0,2,1,2,10,7,22,15
Thompson Nicola,RCMP Municipal,Merritt Mun,81,86,102,104,102,85,96,121,88,101
Thompson Nicola,RCMP Provincial,Merritt Prov,19,20,18,25,23,25,26,23,22,25
Fraser Valley,RCMP Municipal,Mission Mun,234,109,127,135,128,120,119,109,119,174
Fraser Valley,RCMP Provincial,Mission Prov,24,9,12,11,10,7,9,18,12,11
Central Kootenay,RCMP Provincial,Nakusp Prov (5),6,6,7,9,19,7,8,12,3,6
Nanaimo,RCMP Municipal,Nanaimo Mun (1),734,373,301,448,510,459,467,416,428,466
Nanaimo,RCMP Provincial,Nanaimo Prov,47,6,14,10,13,16,9,18,13,20
Central Kootenay,Independent Municipal,Nelson Mun,48,32,81,69,79,77,91,78,78,44
Central Kootenay,RCMP Provincial,Nelson Prov (5),24,11,23,25,20,34,31,42,19,19
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,82,99,92,111,137,159,167,154,157,117
Metro Vancouver,Independent Municipal,New Westminster Mun,462,399,373,307,332,352,295,244,248,239
Strathcona,RCMP Provincial,Nootka Sound Prov,12,9,5,12,17,9,21,21,14,42
Cowichan Valley,RCMP Municipal,North Cowichan Mun,125,52,72,124,105,125,147,125,116,210
Capital,RCMP Municipal,North Saanich Mun,16,8,12,13,21,18,9,16,9,8
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",168,112,119,130,179,216,203,187,171,180
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),128,87,89,76,76,97,95,63,77,48
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",12,13,30,24,35,27,28,22,29,17
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,30,56,39
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),158,148,61,79,109,140,109,46,42,28
Capital,Independent Municipal,Oak Bay Mun,7,6,9,3,15,7,22,9,4,16
Nanaimo,RCMP Provincial,Oceanside Prov ,74,49,17,30,30,37,23,38,30,35
Cariboo,RCMP Provincial,One Hundred Mile House Prov,68,53,51,44,32,22,26,28,26,49
Capital,RCMP Provincial,Outer Gulf  Islands Prov,1,5,8,1,1,2,1,5,0,0
Nanaimo,RCMP Municipal,Parksville Mun,49,29,52,57,51,44,57,57,62,74
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,0,2,4,3
Squamish Lillooet,RCMP Provincial,Pemberton Prov,10,10,18,12,27,8,10,10,14,17
Okanagan Similkameen,RCMP Municipal,Penticton Mun,188,147,148,174,198,183,250,194,149,189
Okanagan Similkameen,RCMP Provincial,Penticton Prov,27,23,25,13,19,26,17,15,23,19
