STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Criminal Code Offences,Central Kootenay,RCMP Municipal,Creston Mun (6),,,,,,,407.00,498.00,414.00,464.00
Criminal Code Offences,Central Kootenay,RCMP Provincial,Creston Prov (6),"1,300.00","1,139.00",932.00,948.00,948.00,871.00,429.00,330.00,291.00,436.00
Criminal Code Offences,Peace River,RCMP Municipal,Dawson Creek Mun,"2,295.00","2,283.00","1,931.00","1,678.00","1,648.00","1,669.00","1,776.00","1,497.00","1,715.00","1,766.00"
Criminal Code Offences,Peace River,RCMP Provincial,Dawson Creek Prov,364.00,279.00,267.00,273.00,283.00,267.00,265.00,263.00,335.00,373.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,281.00,250.00,219.00,230.00,164.00,151.00,170.00,148.00,189.00,165.00
Criminal Code Offences,Metro Vancouver,Independent Municipal,Delta Mun (1),"6,959.00","6,570.00","6,769.00","6,626.00","6,009.00","5,575.00","5,449.00","4,865.00","5,272.00","4,674.00"
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Duncan Prov,"3,328.00","2,934.00","2,412.00","1,990.00","2,290.00","2,314.00","2,054.00","2,102.00","1,897.00","2,038.00"
Criminal Code Offences,East Kootenay,RCMP Provincial,Elk Valley Prov (7),"1,464.00","1,392.00","1,246.00","1,186.00","1,189.00","1,001.00",879.00,741.00,782.00,597.00
Criminal Code Offences,North Okanagan,RCMP Provincial,Enderby Prov,772.00,757.00,448.00,404.00,482.00,427.00,407.00,450.00,440.00,398.00
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Falkland Prov,117.00,196.00,150.00,137.00,139.00,107.00,123.00,107.00,98.00,103.00
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Fort St James Prov,"1,482.00","1,264.00","1,203.00","1,160.00","1,259.00","1,188.00","1,182.00","1,241.00","1,015.00",974.00
Criminal Code Offences,Peace River,RCMP Municipal,Fort St John Mun,"3,815.00","3,244.00","3,407.00","3,579.00","3,147.00","3,038.00","3,089.00","2,934.00","3,114.00","3,032.00"
Criminal Code Offences,Peace River,RCMP Provincial,Fort St John Prov,858.00,669.00,748.00,691.00,654.00,498.00,632.00,662.00,721.00,675.00
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,237.00,207.00,404.00,357.00,295.00,283.00,263.00,214.00,136.00,163.00
Criminal Code Offences,Nanaimo,RCMP Provincial,Gabriola Island Prov,169.00,291.00,282.00,245.00,245.00,153.00,156.00,165.00,231.00,201.00
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Golden Prov,762.00,693.00,723.00,634.00,567.00,563.00,586.00,507.00,454.00,559.00
Criminal Code Offences,Fraser Valley,RCMP Municipal,Hope Mun,"1,163.00","1,435.00","1,178.00",974.00,860.00,973.00,870.00,692.00,771.00,"1,006.00"
Criminal Code Offences,Fraser Valley,RCMP Provincial,Hope  Prov,291.00,198.00,192.00,196.00,279.00,210.00,149.00,144.00,141.00,189.00
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),529.00,562.00,530.00,564.00,524.00,528.00,600.00,440.00,355.00,454.00
Criminal Code Offences,Peace River,RCMP Provincial,Hudson's Hope Prov,58.00,45.00,88.00,106.00,89.00,88.00,106.00,77.00,67.00,76.00
Criminal Code Offences,Thompson Nicola,RCMP Municipal,Kamloops Mun,"13,222.00","12,945.00","10,192.00","9,752.00","9,797.00","9,276.00","8,623.00","9,368.00","8,514.00","8,585.00"
Criminal Code Offences,Central Kootenay,RCMP Provincial,Kaslo Prov (5),261.00,175.00,99.00,110.00,100.00,106.00,136.00,218.00,135.00,204.00
Criminal Code Offences,Central Okanagan,RCMP Municipal,Kelowna Mun,"15,068.00","14,865.00","14,611.00","14,620.00","13,654.00","12,051.00","12,746.00","10,737.00","10,811.00","12,428.00"
Criminal Code Offences,Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)","3,460.00","3,429.00","3,768.00","1,477.00","1,386.00","1,293.00","1,157.00","1,064.00","1,102.00","1,137.00"
Criminal Code Offences,Fraser Valley,RCMP Municipal,Kent Mun (2),,,,264.00,402.00,434.00,367.00,340.00,383.00,441.00
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,287.00,380.00,377.00,428.00,314.00,451.00,272.00,302.00,436.00,434.00
Criminal Code Offences,East Kootenay,RCMP Municipal,Kimberley Mun,495.00,472.00,578.00,441.00,435.00,409.00,323.00,307.00,221.00,354.00
Criminal Code Offences,East Kootenay,RCMP Provincial,Kimberley Prov,107.00,85.00,69.00,73.00,74.00,76.00,49.00,58.00,54.00,89.00
Criminal Code Offences,Kitimat Stikine,RCMP Municipal,Kitimat Mun,751.00,959.00,"1,008.00","1,053.00",945.00,885.00,955.00,931.00,809.00,683.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Kitimat Prov,73.00,64.00,53.00,49.00,59.00,29.00,30.00,41.00,50.00,45.00
Criminal Code Offences,Cowichan Valley,RCMP Municipal,Ladysmith Mun,542.00,571.00,664.00,674.00,678.00,618.00,536.00,393.00,484.00,661.00
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Ladysmith Prov,414.00,362.00,404.00,368.00,331.00,301.00,298.00,241.00,310.00,341.00
Criminal Code Offences,Central Okanagan,RCMP Municipal,Lake Country Mun,684.00,822.00,803.00,743.00,635.00,587.00,752.00,538.00,573.00,672.00
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,837.00,639.00,676.00,642.00,608.00,497.00,349.00,463.00,435.00,474.00
Criminal Code Offences,Capital,RCMP Municipal,Langford Mun,"2,990.00","2,873.00","2,564.00","2,441.00","2,040.00","1,777.00","2,002.00","1,726.00","1,736.00","1,738.00"
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley City Mun,"4,418.00","3,593.00","3,500.00","3,498.00","3,705.00","3,651.00","4,018.00","3,846.00","3,633.00","3,931.00"
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"9,643.00","9,604.00","8,138.00","7,772.00","8,599.00","7,855.00","8,177.00","7,481.00","8,706.00","8,483.00"
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Lillooet Prov,505.00,440.00,440.00,550.00,544.00,475.00,531.00,400.00,325.00,281.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,501.00,642.00,492.00,513.00,459.00,389.00,407.00,453.00,236.00,313.00
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Logan Lake Prov,220.00,229.00,149.00,181.00,156.00,138.00,135.00,118.00,119.00,130.00
Criminal Code Offences,North Okanagan,RCMP Provincial,Lumby Prov,382.00,270.00,395.00,320.00,284.00,240.00,304.00,252.00,211.00,269.00
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Lytton Prov,347.00,371.00,320.00,183.00,224.00,207.00,199.00,158.00,140.00,194.00
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Mackenzie Prov,518.00,515.00,400.00,336.00,466.00,469.00,608.00,447.00,543.00,470.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"8,239.00","9,211.00","7,871.00","7,182.00","6,577.00","5,850.00","5,896.00","5,587.00","6,945.00","7,809.00"
Criminal Code Offences,North Coast Regional District (22),RCMP Provincial,Masset Prov,672.00,651.00,536.00,507.00,400.00,297.00,316.00,249.00,342.00,314.00
Criminal Code Offences,Fraser Fort George,RCMP Provincial,McBride Prov,224.00,163.00,128.00,109.00,102.00,111.00,111.00,120.00,111.00,122.00
Criminal Code Offences,Thompson Nicola,RCMP Municipal,Merritt Mun,"1,774.00","1,793.00","1,650.00","1,435.00","1,230.00","1,172.00","1,257.00","1,129.00","1,039.00","1,037.00"
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Merritt Prov,422.00,373.00,304.00,328.00,287.00,316.00,311.00,259.00,279.00,287.00
Criminal Code Offences,Fraser Valley,RCMP Municipal,Mission Mun,"5,048.00","4,790.00","4,717.00","3,770.00","3,870.00","3,493.00","3,713.00","3,437.00","3,655.00","4,638.00"
Criminal Code Offences,Fraser Valley,RCMP Provincial,Mission Prov,556.00,418.00,395.00,378.00,344.00,313.00,264.00,219.00,230.00,265.00
Criminal Code Offences,Central Kootenay,RCMP Provincial,Nakusp Prov (5),266.00,222.00,227.00,249.00,273.00,184.00,234.00,232.00,203.00,226.00
Criminal Code Offences,Nanaimo,RCMP Municipal,Nanaimo Mun (1),"13,624.00","12,431.00","10,336.00","11,311.00","10,459.00","9,146.00","9,176.00","8,697.00","8,981.00","8,571.00"
Criminal Code Offences,Nanaimo,RCMP Provincial,Nanaimo Prov,935.00,797.00,748.00,598.00,601.00,565.00,466.00,412.00,450.00,508.00
Criminal Code Offences,Central Kootenay,Independent Municipal,Nelson Mun,"1,161.00","1,084.00","1,060.00",951.00,"1,015.00",923.00,996.00,964.00,865.00,854.00
Criminal Code Offences,Central Kootenay,RCMP Provincial,Nelson Prov (5),423.00,389.00,374.00,295.00,272.00,288.00,282.00,294.00,231.00,246.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,"1,010.00","1,019.00","1,189.00","1,367.00","1,402.00","1,387.00","1,197.00","1,253.00","1,186.00",846.00
Criminal Code Offences,Metro Vancouver,Independent Municipal,New Westminster Mun,"7,796.00","7,280.00","6,536.00","6,221.00","6,024.00","5,689.00","5,851.00","5,737.00","5,816.00","5,393.00"
Criminal Code Offences,Strathcona,RCMP Provincial,Nootka Sound Prov,299.00,281.00,206.00,192.00,193.00,147.00,197.00,171.00,183.00,207.00
Criminal Code Offences,Cowichan Valley,RCMP Municipal,North Cowichan Mun,"2,772.00","2,624.00","2,418.00","2,355.00","2,328.00","2,430.00","2,302.00","2,128.00","2,018.00","2,493.00"
Criminal Code Offences,Capital,RCMP Municipal,North Saanich Mun,418.00,408.00,451.00,439.00,404.00,390.00,333.00,280.00,312.00,328.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)","4,699.00","4,298.00","4,177.00","4,731.00","4,116.00","3,895.00","3,430.00","3,409.00","3,499.00","3,925.00"
Criminal Code Offences,Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),"4,747.00","4,380.00","3,911.00","4,280.00","3,862.00","3,665.00","3,490.00","3,199.00","3,326.00","3,347.00"
Criminal Code Offences,Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",296.00,322.00,380.00,421.00,428.00,412.00,372.00,310.00,313.00,306.00
Criminal Code Offences,Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),,,,,,,,618.00,691.00,636.00
Criminal Code Offences,Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),"1,533.00","1,211.00","1,028.00","1,104.00","1,180.00","1,252.00","1,242.00",517.00,323.00,281.00
Criminal Code Offences,Capital,Independent Municipal,Oak Bay Mun,913.00,906.00,854.00,829.00,734.00,763.00,685.00,507.00,479.00,509.00
