STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Violent Offenses,North Okanagan,RCMP Municipal,Coldstream Mun,46.00,48.00,76.00,85.00,60.00,61.00,59.00,66.00,47.00,53.00
Violent Offenses,East Kootenay,RCMP Provincial,Columbia Valley Prov,237.00,119.00,194.00,189.00,172.00,162.00,153.00,155.00,108.00,155.00
Violent Offenses,Capital,RCMP Municipal,Colwood Mun,166.00,170.00,174.00,122.00,101.00,110.00,108.00,80.00,90.00,105.00
Violent Offenses,Comox Valley,RCMP Municipal,Comox Mun,91.00,92.00,105.00,84.00,71.00,107.00,90.00,71.00,82.00,90.00
Violent Offenses,Comox Valley,RCMP Provincial,Comox Valley Prov,287.00,264.00,198.00,240.00,267.00,217.00,254.00,174.00,221.00,203.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),"1,500.00","1,201.00","1,128.00","1,128.00","1,074.00",936.00,"1,008.00",952.00,934.00,986.00
Violent Offenses,Metro Vancouver,RCMP Provincial,Coquitlam Prov,23.00,5.00,16.00,22.00,17.00,8.00,11.00,10.00,12.00,17.00
Violent Offenses,Comox Valley,RCMP Municipal,Courtenay Mun,571.00,611.00,466.00,570.00,492.00,538.00,498.00,425.00,403.00,473.00
Violent Offenses,East Kootenay,RCMP Municipal,Cranbrook Mun,437.00,451.00,457.00,511.00,543.00,570.00,513.00,443.00,389.00,450.00
Violent Offenses,East Kootenay,RCMP Provincial,Cranbrook Prov,50.00,79.00,73.00,84.00,105.00,93.00,83.00,87.00,53.00,69.00
Violent Offenses,Central Kootenay,RCMP Municipal,Creston Mun (6),,,,,,,76.00,70.00,60.00,71.00
Violent Offenses,Central Kootenay,RCMP Provincial,Creston Prov (6),227.00,215.00,217.00,184.00,198.00,151.00,93.00,52.00,46.00,87.00
Violent Offenses,Peace River,RCMP Municipal,Dawson Creek Mun,334.00,345.00,333.00,288.00,297.00,365.00,381.00,338.00,317.00,330.00
Violent Offenses,Peace River,RCMP Provincial,Dawson Creek Prov,69.00,46.00,47.00,65.00,50.00,52.00,62.00,53.00,68.00,56.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,80.00,105.00,68.00,81.00,59.00,51.00,61.00,60.00,65.00,48.00
Violent Offenses,Metro Vancouver,Independent Municipal,Delta Mun (1),"1,130.00",927.00,"1,037.00","1,030.00",886.00,780.00,699.00,593.00,589.00,592.00
Violent Offenses,Cowichan Valley,RCMP Provincial,Duncan Prov,654.00,550.00,468.00,354.00,327.00,367.00,304.00,353.00,314.00,358.00
Violent Offenses,East Kootenay,RCMP Provincial,Elk Valley Prov (7),288.00,227.00,244.00,245.00,256.00,221.00,193.00,193.00,139.00,127.00
Violent Offenses,North Okanagan,RCMP Provincial,Enderby Prov,164.00,120.00,90.00,84.00,109.00,122.00,96.00,111.00,81.00,85.00
Violent Offenses,Columbia Shuswap,RCMP Provincial,Falkland Prov,25.00,49.00,29.00,26.00,36.00,31.00,29.00,28.00,18.00,24.00
Violent Offenses,Bulkley Nechako,RCMP Provincial,Fort St James Prov,407.00,372.00,344.00,301.00,276.00,329.00,336.00,327.00,239.00,215.00
Violent Offenses,Peace River,RCMP Municipal,Fort St John Mun,718.00,634.00,765.00,802.00,760.00,720.00,708.00,557.00,579.00,668.00
Violent Offenses,Peace River,RCMP Provincial,Fort St John Prov,252.00,185.00,188.00,215.00,231.00,168.00,196.00,192.00,198.00,177.00
Violent Offenses,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,82.00,88.00,147.00,95.00,97.00,82.00,91.00,58.00,36.00,54.00
Violent Offenses,Nanaimo,RCMP Provincial,Gabriola Island Prov,34.00,55.00,56.00,52.00,53.00,30.00,25.00,25.00,43.00,32.00
Violent Offenses,Columbia Shuswap,RCMP Provincial,Golden Prov,139.00,139.00,141.00,132.00,116.00,124.00,101.00,114.00,89.00,109.00
Violent Offenses,Fraser Valley,RCMP Municipal,Hope Mun,174.00,160.00,173.00,167.00,153.00,166.00,173.00,120.00,141.00,167.00
Violent Offenses,Fraser Valley,RCMP Provincial,Hope  Prov,37.00,29.00,27.00,19.00,40.00,35.00,24.00,29.00,15.00,33.00
Violent Offenses,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),148.00,142.00,143.00,149.00,128.00,147.00,162.00,117.00,96.00,114.00
Violent Offenses,Peace River,RCMP Provincial,Hudson's Hope Prov,15.00,16.00,26.00,33.00,13.00,19.00,22.00,9.00,17.00,11.00
Violent Offenses,Thompson Nicola,RCMP Municipal,Kamloops Mun,"2,479.00","2,313.00","2,068.00","2,126.00","2,090.00","1,942.00","1,806.00","1,835.00","1,415.00","1,097.00"
Violent Offenses,Central Kootenay,RCMP Provincial,Kaslo Prov (5),57.00,34.00,18.00,23.00,23.00,30.00,42.00,51.00,23.00,39.00
Violent Offenses,Central Okanagan,RCMP Municipal,Kelowna Mun,"2,323.00","2,580.00","2,534.00","2,550.00","2,425.00","2,253.00","2,121.00","1,525.00","1,482.00","1,589.00"
Violent Offenses,Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)",633.00,743.00,694.00,307.00,262.00,227.00,218.00,185.00,153.00,141.00
Violent Offenses,Fraser Valley,RCMP Municipal,Kent Mun (2),,,,52.00,100.00,107.00,96.00,101.00,108.00,109.00
Violent Offenses,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,62.00,74.00,76.00,67.00,54.00,111.00,77.00,58.00,72.00,72.00
Violent Offenses,East Kootenay,RCMP Municipal,Kimberley Mun,94.00,75.00,115.00,95.00,95.00,65.00,84.00,80.00,45.00,52.00
Violent Offenses,East Kootenay,RCMP Provincial,Kimberley Prov,19.00,25.00,4.00,17.00,18.00,9.00,22.00,5.00,9.00,10.00
Violent Offenses,Kitimat Stikine,RCMP Municipal,Kitimat Mun,185.00,198.00,199.00,267.00,251.00,283.00,254.00,242.00,163.00,193.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,Kitimat Prov,21.00,26.00,13.00,15.00,18.00,2.00,10.00,10.00,17.00,19.00
Violent Offenses,Cowichan Valley,RCMP Municipal,Ladysmith Mun,80.00,63.00,86.00,113.00,108.00,110.00,96.00,78.00,62.00,92.00
Violent Offenses,Cowichan Valley,RCMP Provincial,Ladysmith Prov,83.00,77.00,84.00,86.00,83.00,84.00,88.00,52.00,71.00,72.00
Violent Offenses,Central Okanagan,RCMP Municipal,Lake Country Mun,118.00,156.00,174.00,139.00,126.00,130.00,191.00,124.00,112.00,127.00
Violent Offenses,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,182.00,136.00,128.00,140.00,149.00,136.00,63.00,89.00,87.00,111.00
Violent Offenses,Capital,RCMP Municipal,Langford Mun,461.00,443.00,456.00,474.00,382.00,332.00,343.00,295.00,297.00,275.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Langley City Mun,603.00,431.00,425.00,434.00,436.00,477.00,512.00,420.00,383.00,389.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"1,149.00","1,153.00",996.00,"1,009.00",853.00,888.00,"1,024.00",867.00,819.00,860.00
Violent Offenses,Squamish Lillooet,RCMP Provincial,Lillooet Prov,113.00,85.00,78.00,99.00,120.00,99.00,153.00,105.00,81.00,56.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,170.00,212.00,146.00,162.00,159.00,141.00,145.00,119.00,72.00,79.00
Violent Offenses,Thompson Nicola,RCMP Provincial,Logan Lake Prov,50.00,59.00,40.00,54.00,34.00,35.00,24.00,29.00,33.00,28.00
Violent Offenses,North Okanagan,RCMP Provincial,Lumby Prov,89.00,56.00,93.00,88.00,74.00,63.00,88.00,74.00,45.00,80.00
Violent Offenses,Thompson Nicola,RCMP Provincial,Lytton Prov,108.00,100.00,57.00,65.00,82.00,69.00,66.00,45.00,38.00,67.00
Violent Offenses,Fraser Fort George,RCMP Provincial,Mackenzie Prov,169.00,137.00,98.00,89.00,106.00,147.00,159.00,113.00,136.00,86.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"1,120.00","1,233.00","1,140.00","1,132.00","1,169.00",969.00,991.00,906.00,906.00,"1,074.00"
Violent Offenses,North Coast Regional District (22),RCMP Provincial,Masset Prov,170.00,137.00,125.00,126.00,102.00,71.00,106.00,64.00,68.00,61.00
Violent Offenses,Fraser Fort George,RCMP Provincial,McBride Prov,33.00,23.00,23.00,15.00,26.00,30.00,28.00,30.00,15.00,9.00
Violent Offenses,Thompson Nicola,RCMP Municipal,Merritt Mun,318.00,307.00,245.00,234.00,243.00,245.00,298.00,261.00,217.00,212.00
Violent Offenses,Thompson Nicola,RCMP Provincial,Merritt Prov,118.00,97.00,70.00,78.00,60.00,76.00,73.00,67.00,71.00,70.00
Violent Offenses,Fraser Valley,RCMP Municipal,Mission Mun,786.00,683.00,750.00,768.00,716.00,654.00,637.00,575.00,538.00,647.00
Violent Offenses,Fraser Valley,RCMP Provincial,Mission Prov,93.00,62.00,70.00,87.00,62.00,74.00,68.00,51.00,62.00,52.00
Violent Offenses,Central Kootenay,RCMP Provincial,Nakusp Prov (5),43.00,45.00,51.00,52.00,61.00,36.00,44.00,65.00,43.00,34.00
Violent Offenses,Nanaimo,RCMP Municipal,Nanaimo Mun (1),"2,225.00","1,737.00","1,632.00","1,636.00","1,693.00","1,403.00","1,429.00","1,422.00","1,127.00","1,134.00"
Violent Offenses,Nanaimo,RCMP Provincial,Nanaimo Prov,174.00,131.00,102.00,107.00,106.00,118.00,89.00,77.00,87.00,86.00
Violent Offenses,Central Kootenay,Independent Municipal,Nelson Mun,162.00,163.00,112.00,127.00,150.00,179.00,183.00,189.00,156.00,178.00
Violent Offenses,Central Kootenay,RCMP Provincial,Nelson Prov (5),106.00,93.00,109.00,64.00,87.00,86.00,82.00,75.00,57.00,54.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,330.00,292.00,288.00,375.00,368.00,396.00,334.00,297.00,305.00,206.00
Violent Offenses,Metro Vancouver,Independent Municipal,New Westminster Mun,"1,437.00","1,314.00","1,204.00","1,058.00","1,122.00",939.00,"1,014.00",953.00,874.00,876.00
Violent Offenses,Strathcona,RCMP Provincial,Nootka Sound Prov,66.00,67.00,54.00,36.00,47.00,28.00,56.00,67.00,48.00,50.00
Violent Offenses,Cowichan Valley,RCMP Municipal,North Cowichan Mun,500.00,499.00,409.00,454.00,344.00,401.00,387.00,413.00,387.00,396.00
Violent Offenses,Capital,RCMP Municipal,North Saanich Mun,58.00,43.00,42.00,49.00,77.00,77.00,41.00,30.00,38.00,53.00
Violent Offenses,Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",772.00,639.00,531.00,609.00,597.00,578.00,598.00,486.00,484.00,527.00
Violent Offenses,Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),660.00,591.00,509.00,533.00,571.00,501.00,501.00,421.00,354.00,382.00
Violent Offenses,Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",73.00,62.00,92.00,67.00,91.00,73.00,84.00,54.00,61.00,46.00
Violent Offenses,Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),,,,,,,,159.00,186.00,156.00
Violent Offenses,Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),358.00,359.00,258.00,269.00,223.00,254.00,251.00,131.00,69.00,103.00
Violent Offenses,Capital,Independent Municipal,Oak Bay Mun,47.00,74.00,53.00,56.00,60.00,26.00,48.00,47.00,59.00,40.00
Violent Offenses,Nanaimo,RCMP Provincial,Oceanside Prov ,303.00,244.00,135.00,176.00,158.00,158.00,136.00,141.00,135.00,125.00
Violent Offenses,Cariboo,RCMP Provincial,One Hundred Mile House Prov,290.00,190.00,171.00,194.00,158.00,165.00,146.00,128.00,130.00,131.00
Violent Offenses,Capital,RCMP Provincial,Outer Gulf  Islands Prov,53.00,38.00,35.00,27.00,33.00,26.00,16.00,17.00,23.00,20.00
Violent Offenses,Nanaimo,RCMP Municipal,Parksville Mun,205.00,179.00,156.00,145.00,103.00,118.00,114.00,131.00,86.00,126.00
Violent Offenses,Central Okanagan,RCMP Municipal,Peachland Mun (10),,,,,,,28.00,27.00,42.00,26.00
Violent Offenses,Squamish Lillooet,RCMP Provincial,Pemberton Prov,58.00,51.00,73.00,66.00,60.00,49.00,72.00,56.00,62.00,77.00
Violent Offenses,Okanagan Similkameen,RCMP Municipal,Penticton Mun,776.00,806.00,700.00,862.00,792.00,779.00,576.00,409.00,398.00,480.00
Violent Offenses,Okanagan Similkameen,RCMP Provincial,Penticton Prov,138.00,129.00,120.00,117.00,81.00,99.00,84.00,52.00,65.00,53.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),201.00,257.00,260.00,247.00,207.00,185.00,167.00,162.00,213.00,223.00
Violent Offenses,Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,727.00,660.00,652.00,527.00,457.00,527.00,443.00,446.00,385.00,383.00
Violent Offenses,Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,136.00,125.00,96.00,86.00,88.00,80.00,82.00,68.00,53.00,47.00
Violent Offenses,Mount Waddington,RCMP Provincial,Port Alice Prov,24.00,18.00,22.00,19.00,22.00,22.00,6.00,8.00,8.00,9.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),791.00,660.00,565.00,589.00,521.00,521.00,589.00,566.00,513.00,577.00
Violent Offenses,Mount Waddington,RCMP Provincial,Port Hardy Prov,357.00,243.00,178.00,166.00,149.00,164.00,174.00,170.00,172.00,138.00
Violent Offenses,Mount Waddington,RCMP Provincial,Port McNeill Prov,112.00,146.00,108.00,78.00,78.00,38.00,50.00,43.00,49.00,48.00
Violent Offenses,Metro Vancouver,Independent Municipal,Port Moody Mun,227.00,216.00,188.00,233.00,197.00,154.00,169.00,177.00,119.00,119.00
Violent Offenses,Powell River,RCMP Municipal,Powell River Mun,286.00,321.00,273.00,284.00,171.00,216.00,196.00,194.00,180.00,167.00
Violent Offenses,Powell River,RCMP Provincial,Powell River Prov,140.00,116.00,90.00,108.00,95.00,76.00,65.00,83.00,43.00,48.00
Violent Offenses,Fraser Fort George,RCMP Municipal,Prince George Mun,"2,734.00","2,516.00","1,902.00","2,063.00","2,275.00","2,205.00","2,192.00","1,819.00","1,584.00","1,538.00"
Violent Offenses,Fraser Fort George,RCMP Provincial,Prince George Prov,132.00,132.00,114.00,125.00,136.00,114.00,123.00,89.00,85.00,89.00
Violent Offenses,North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,739.00,893.00,779.00,717.00,651.00,683.00,580.00,480.00,450.00,485.00
Violent Offenses,North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),110.00,129.00,138.00,74.00,90.00,120.00,105.00,55.00,73.00,79.00
Violent Offenses,Okanagan Similkameen,RCMP Provincial,Princeton Prov,100.00,100.00,81.00,113.00,100.00,109.00,82.00,100.00,69.00,69.00
Violent Offenses,Strathcona,RCMP Provincial,Quadra Island Prov,77.00,48.00,36.00,28.00,44.00,33.00,20.00,16.00,15.00,15.00
Violent Offenses,Nanaimo,RCMP Municipal,Qualicum Beach Mun,60.00,93.00,69.00,55.00,51.00,50.00,46.00,31.00,29.00,30.00
Violent Offenses,North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,92.00,94.00,102.00,49.00,54.00,48.00,46.00,37.00,16.00,33.00
Violent Offenses,Cariboo,RCMP Municipal,Quesnel Mun,564.00,504.00,511.00,500.00,421.00,457.00,472.00,377.00,324.00,414.00
Violent Offenses,Cariboo,RCMP Provincial,Quesnel Prov,186.00,209.00,212.00,208.00,197.00,171.00,155.00,202.00,147.00,162.00
Violent Offenses,Columbia Shuswap,RCMP Municipal,Revelstoke Mun,159.00,135.00,137.00,119.00,88.00,105.00,121.00,95.00,68.00,59.00
Violent Offenses,Columbia Shuswap,RCMP Provincial,Revelstoke Prov,10.00,18.00,11.00,7.00,8.00,9.00,6.00,8.00,3.00,5.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Richmond Mun,"1,720.00","1,842.00","1,873.00","1,893.00","1,862.00","1,579.00","1,382.00","1,395.00","1,356.00","1,343.00"
Violent Offenses,Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",21.00,6.00,88.00,185.00,242.00,211.00,181.00,217.00,5.00,21.00
Violent Offenses,Capital,Independent Municipal,Saanich Mun,892.00,853.00,830.00,933.00,972.00,863.00,893.00,722.00,683.00,858.00
Violent Offenses,Central Kootenay,RCMP Provincial,Salmo Prov (5),50.00,60.00,66.00,60.00,54.00,94.00,65.00,57.00,39.00,36.00
Violent Offenses,Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,324.00,359.00,327.00,324.00,251.00,336.00,248.00,241.00,153.00,188.00
Violent Offenses,Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,126.00,131.00,114.00,118.00,76.00,79.00,77.00,49.00,65.00,76.00
Violent Offenses,Capital,RCMP Provincial,Saltspring Island Prov,149.00,141.00,126.00,139.00,145.00,105.00,71.00,87.00,64.00,61.00
Violent Offenses,Strathcona,RCMP Provincial,Sayward Prov,26.00,27.00,32.00,13.00,8.00,6.00,8.00,9.00,7.00,5.00
Violent Offenses,Sunshine Coast,RCMP Municipal,Sechelt Mun,126.00,109.00,188.00,173.00,132.00,108.00,127.00,96.00,91.00,104.00
Violent Offenses,Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,163.00,157.00,156.00,161.00,138.00,125.00,156.00,153.00,126.00,171.00
Violent Offenses,Columbia Shuswap,RCMP Provincial,Sicamous Prov,96.00,64.00,46.00,53.00,47.00,51.00,60.00,53.00,38.00,56.00
Violent Offenses,Capital,RCMP Municipal,Sidney Mun,98.00,113.00,120.00,141.00,125.00,123.00,108.00,99.00,70.00,60.00
Violent Offenses,Capital,RCMP Provincial,Sidney Prov,82.00,99.00,100.00,119.00,107.00,109.00,59.00,67.00,62.00,88.00
Violent Offenses,Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),17.00,23.00,5.00,29.00,50.00,53.00,43.00,44.00,40.00,34.00
Violent Offenses,Bulkley Nechako,RCMP Municipal,Smithers Mun,251.00,236.00,237.00,252.00,223.00,184.00,192.00,200.00,162.00,146.00
Violent Offenses,Bulkley Nechako,RCMP Provincial,Smithers Prov,134.00,150.00,120.00,150.00,126.00,159.00,139.00,96.00,110.00,108.00
Violent Offenses,Capital,RCMP Municipal,Sooke Mun,167.00,196.00,185.00,179.00,182.00,158.00,90.00,94.00,105.00,111.00
Violent Offenses,Capital,RCMP Provincial,Sooke Prov,76.00,67.00,51.00,61.00,81.00,51.00,27.00,23.00,32.00,55.00
Violent Offenses,Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),128.00,134.00,141.00,210.00,160.00,139.00,166.00,89.00,116.00,103.00
Violent Offenses,Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),94.00,107.00,144.00,135.00,117.00,93.00,61.00,89.00,88.00,73.00
Violent Offenses,North Okanagan,RCMP Municipal,Spallumcheen Mun (3),,,,,,,25.00,43.00,21.00,28.00
Violent Offenses,Squamish Lillooet,RCMP Municipal,Squamish Mun (1),460.00,461.00,408.00,376.00,369.00,352.00,374.00,350.00,317.00,289.00
Violent Offenses,Squamish Lillooet,RCMP Provincial,Squamish Prov,31.00,23.00,17.00,22.00,10.00,15.00,25.00,18.00,25.00,25.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,Stewart Prov,9.00,16.00,8.00,9.00,12.00,15.00,11.00,16.00,17.00,10.00
Violent Offenses,Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),222.00,208.00,196.00,176.00,204.00,124.00,160.00,180.00,142.00,164.00
Violent Offenses,Okanagan Similkameen,RCMP Municipal,Summerland Mun,115.00,141.00,132.00,100.00,70.00,94.00,84.00,72.00,60.00,47.00
Violent Offenses,Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),232.00,251.00,327.00,336.00,223.00,249.00,209.00,165.00,137.00,172.00
Violent Offenses,Metro Vancouver,RCMP Municipal,Surrey Mun (19),"8,447.00","8,471.00","8,455.00","8,470.00","8,309.00","7,630.00","7,194.00","5,750.00","5,629.00","7,632.00"
Violent Offenses,Bulkley Nechako,RCMP Provincial,Takla Landing Prov,36.00,24.00,19.00,28.00,35.00,27.00,35.00,35.00,43.00,15.00
Violent Offenses,Kitimat Stikine,RCMP Municipal,Terrace Mun,564.00,553.00,500.00,475.00,402.00,402.00,351.00,343.00,302.00,342.00
Violent Offenses,Kitimat Stikine,RCMP Provincial,Terrace Prov,181.00,178.00,148.00,171.00,148.00,152.00,131.00,115.00,115.00,142.00
Violent Offenses,Powell River,RCMP Provincial,Texada Island Prov,10.00,7.00,17.00,6.00,9.00,8.00,16.00,4.00,7.00,18.00
Violent Offenses,Thompson Nicola,RCMP Provincial,T'Kumlups Prov,149.00,188.00,180.00,162.00,179.00,151.00,124.00,106.00,119.00,111.00
Violent Offenses,Alberni Clayoquot,RCMP Provincial,Tofino Prov,155.00,168.00,161.00,155.00,94.00,126.00,128.00,126.00,70.00,148.00
Violent Offenses,Kootenay Boundary,RCMP Municipal,Trail Mun,178.00,209.00,197.00,176.00,198.00,220.00,241.00,173.00,145.00,125.00
Violent Offenses,Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",92.00,133.00,98.00,119.00,110.00,117.00,122.00,94.00,63.00,88.00
Violent Offenses,Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,112.00,95.00,114.00,103.00,90.00,72.00,85.00,68.00,52.00,50.00
Violent Offenses,Peace River,RCMP Provincial,Tumbler Ridge Prov,100.00,99.00,88.00,75.00,54.00,47.00,42.00,34.00,31.00,37.00
Violent Offenses,Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,91.00,83.00,104.00,80.00,73.00,57.00,53.00,51.00,49.00,53.00
Violent Offenses,Metro Vancouver,RCMP Provincial,University Prov,119.00,96.00,114.00,120.00,152.00,111.00,138.00,102.00,126.00,144.00
Violent Offenses,Fraser Fort George,RCMP Provincial,Valemount Prov,42.00,31.00,40.00,55.00,25.00,23.00,32.00,48.00,26.00,48.00
Violent Offenses,Metro Vancouver,Independent Municipal,Vancouver Mun (1),"11,015.00","10,769.00","10,858.00","10,838.00","10,442.00","10,055.00","9,218.00","8,832.00","8,221.00","8,007.00"
Violent Offenses,Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,199.00,287.00,254.00,223.00,208.00,222.00,210.00,225.00,178.00,204.00
Violent Offenses,North Okanagan,RCMP Municipal,Vernon Mun,820.00,908.00,995.00,"1,012.00",850.00,724.00,822.00,804.00,652.00,650.00
Violent Offenses,North Okanagan,RCMP Provincial,Vernon Prov,103.00,110.00,138.00,127.00,121.00,118.00,100.00,95.00,76.00,60.00
Violent Offenses,Capital,Independent Municipal,Victoria Mun (21),"2,329.00","2,383.00","2,526.00","2,562.00","2,867.00","2,361.00","2,139.00","2,074.00","2,299.00","2,572.00"
Violent Offenses,Capital,RCMP Municipal,View Royal Mun,106.00,89.00,100.00,137.00,121.00,93.00,73.00,61.00,68.00,60.00
Violent Offenses,Cariboo,RCMP Provincial,Wells Prov,6.00,1.00,4.00,5.00,5.00,5.00,7.00,2.00,9.00,11.00
Violent Offenses,Central Okanagan,RCMP Municipal,West Kelowna Mun (9),,,,338.00,276.00,254.00,255.00,242.00,179.00,230.00
Violent Offenses,Capital,RCMP Provincial,West Shore Prov,112.00,105.00,130.00,114.00,134.00,92.00,67.00,64.00,55.00,47.00
Violent Offenses,Metro Vancouver,Independent Municipal,West Vancouver Mun (1),394.00,384.00,337.00,290.00,292.00,323.00,336.00,312.00,268.00,313.00
Violent Offenses,Squamish Lillooet,RCMP Municipal,Whistler Mun,253.00,303.00,258.00,270.00,211.00,238.00,266.00,235.00,189.00,215.00
Violent Offenses,Squamish Lillooet,RCMP Provincial,Whistler Prov,2.00,3.00,3.00,5.00,0.00,0.00,1.00,2.00,2.00,1.00
Violent Offenses,Metro Vancouver,RCMP Municipal,White Rock Mun,221.00,180.00,148.00,184.00,201.00,157.00,132.00,104.00,107.00,146.00
Violent Offenses,Cariboo,RCMP Municipal,Williams Lake Mun,628.00,575.00,642.00,567.00,587.00,586.00,622.00,537.00,529.00,437.00
Violent Offenses,Cariboo,RCMP Provincial,Williams Lake Prov,172.00,181.00,241.00,179.00,167.00,157.00,196.00,178.00,149.00,123.00
Property Offenses,Fraser Valley,Independent Municipal,Abbotsford Mun (1),"9,629.00","9,476.00","8,487.00","6,378.00","6,020.00","5,651.00","4,939.00","5,111.00","5,559.00","6,746.00"
Property Offenses,Fraser Valley,RCMP Provincial,Agassiz Prov (2),873.00,724.00,691.00,356.00,313.00,279.00,237.00,255.00,202.00,307.00
Property Offenses,Mount Waddington,RCMP Provincial,Alert Bay Prov,82.00,104.00,144.00,136.00,118.00,108.00,112.00,97.00,100.00,77.00
Property Offenses,Cariboo,RCMP Provincial,Alexis Creek Prov,221.00,166.00,174.00,117.00,85.00,92.00,155.00,188.00,129.00,111.00
Property Offenses,Cariboo,RCMP Provincial,Anahim Lake Prov,67.00,98.00,111.00,66.00,75.00,52.00,57.00,63.00,63.00,38.00
Property Offenses,North Okanagan,RCMP Provincial,Armstrong Prov (3),385.00,399.00,383.00,321.00,295.00,254.00,144.00,142.00,131.00,130.00
Property Offenses,Thompson Nicola,RCMP Provincial,Ashcroft Prov,261.00,277.00,247.00,198.00,166.00,146.00,110.00,90.00,111.00,113.00
Property Offenses,Kitimat Stikine,RCMP Provincial,Atlin Prov,27.00,23.00,24.00,35.00,17.00,29.00,41.00,26.00,41.00,29.00
Property Offenses,Thompson Nicola,RCMP Provincial,Barriere Prov,158.00,178.00,116.00,92.00,87.00,96.00,107.00,122.00,134.00,169.00
Property Offenses,Central Coast,RCMP Provincial,Bella Bella Prov (4),195.00,231.00,199.00,149.00,152.00,200.00,210.00,123.00,104.00,65.00
Property Offenses,Central Coast,RCMP Provincial,Bella Coola Prov,169.00,114.00,105.00,91.00,76.00,79.00,172.00,99.00,130.00,56.00
Property Offenses,Fraser Valley,RCMP Provincial,Boston Bar Prov,78.00,80.00,83.00,67.00,93.00,72.00,66.00,58.00,40.00,63.00
Property Offenses,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),400.00,486.00,554.00,549.00,449.00,384.00,432.00,277.00,325.00,309.00
Property Offenses,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),112.00,114.00,163.00,153.00,209.00,160.00,93.00,76.00,103.00,142.00
Property Offenses,Metro Vancouver,RCMP Provincial,Bowen Island Prov,72.00,79.00,91.00,87.00,62.00,71.00,44.00,55.00,32.00,63.00
Property Offenses,Metro Vancouver,RCMP Municipal,Burnaby Mun,"16,410.00","14,529.00","13,412.00","14,046.00","12,259.00","11,055.00","11,820.00","10,680.00","11,605.00","11,817.00"
Property Offenses,Bulkley Nechako,RCMP Provincial,Burns Lake Prov,409.00,413.00,450.00,528.00,564.00,446.00,399.00,420.00,371.00,314.00
Property Offenses,Strathcona,RCMP Municipal,Campbell River Mun,"2,718.00","2,478.00","2,111.00","1,964.00","1,760.00","1,558.00","1,515.00","1,432.00","1,448.00","1,564.00"
Property Offenses,Strathcona,RCMP Provincial,Campbell River Prov,269.00,195.00,176.00,149.00,170.00,178.00,194.00,183.00,211.00,397.00
Property Offenses,Central Kootenay,RCMP Municipal,Castlegar Mun,647.00,732.00,597.00,516.00,431.00,358.00,330.00,336.00,316.00,343.00
