REGION,TYPE OF POLICING,POLICING JURISDICTION,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Capital,Independent Municipal PD,Saanich Mun," 110,352 "," 110,921 "," 111,434 "," 111,603 "," 112,311 "," 112,371 "," 112,435 "," 111,981 "," 111,637 "," 111,233 "," 110,767 "
Central Kootenay,RCMP Provincial,Salmo Prov," 2,511 "," 2,490 "," 2,469 "," 2,502 "," 2,545 "," 2,565 "," 2,600 "," 2,631 "," 2,657 "," 2,643 "," 2,719 "
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun," 15,841 "," 16,023 "," 16,306 "," 16,708 "," 17,165 "," 17,428 "," 17,378 "," 17,772 "," 17,591 "," 17,438 "," 17,749 "
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov," 8,960 "," 9,144 "," 9,387 "," 9,378 "," 9,583 "," 9,505 "," 9,291 "," 9,112 "," 9,194 "," 9,220 "," 9,377 "
Capital,RCMP Provincial,Saltspring Island Prov," 9,758 "," 9,959 "," 10,054 "," 10,004 "," 10,189 "," 10,243 "," 10,271 "," 10,347 "," 10,368 "," 10,375 "," 10,473 "
Strathcona,RCMP Provincial,Sayward Prov, 827 , 821 , 819 , 795 , 797 , 797 , 788 , 787 , 779 , 772 , 775 
Sunshine Coast,RCMP Municipal,Sechelt Mun," 7,955 "," 8,251 "," 8,491 "," 8,676 "," 8,837 "," 8,906 "," 9,134 "," 9,393 "," 9,585 "," 9,569 "," 9,983 "
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov," 16,322 "," 16,586 "," 16,797 "," 16,970 "," 17,231 "," 17,293 "," 17,544 "," 17,651 "," 17,601 "," 17,695 "," 17,829 "
Columbia Shuswap,RCMP Provincial,Sicamous Prov," 3,972 "," 3,940 "," 4,046 "," 4,019 "," 4,143 "," 4,051 "," 3,935 "," 3,774 "," 3,773 "," 3,756 "," 3,803 "
Capital,RCMP Municipal,Sidney Mun," 11,260 "," 11,547 "," 11,458 "," 11,469 "," 11,392 "," 11,359 "," 11,291 "," 11,197 "," 11,173 "," 11,125 "," 11,153 "
Capital,RCMP Provincial,Sidney Prov," 3,308 "," 3,377 "," 3,409 "," 3,392 "," 3,455 "," 3,473 "," 3,482 "," 3,508 "," 3,515 "," 3,518 "," 3,551 "
Central Kootenay,RCMP Provincial,Slocan Lake Prov," 1,988 "," 1,969 "," 1,947 "," 1,952 "," 1,986 "," 1,976 "," 1,961 "," 1,949 "," 1,957 "," 1,962 "," 1,980 "
Bulkley Nechako,RCMP Municipal,Smithers Mun," 5,413 "," 5,241 "," 5,292 "," 5,224 "," 5,325 "," 5,386 "," 5,487 "," 5,490 "," 5,399 "," 5,246 "," 5,103 "
Bulkley Nechako,RCMP Provincial,Smithers Prov," 7,699 "," 7,636 "," 7,479 "," 7,380 "," 7,459 "," 7,452 "," 7,488 "," 7,568 "," 7,652 "," 7,724 "," 7,891 "
Capital,RCMP Municipal,Sooke Mun," 9,568 "," 9,832 "," 10,084 "," 10,480 "," 10,713 "," 11,006 "," 11,482 "," 11,684 "," 11,913 "," 12,390 "," 12,257 "
Capital,RCMP Provincial,Sooke Prov," 4,320 "," 4,409 "," 4,451 "," 4,429 "," 4,511 "," 4,535 "," 4,547 "," 4,580 "," 4,590 "," 4,593 "," 4,636 "
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver," 8,217 "," 8,377 "," 8,384 "," 8,532 "," 8,756 "," 9,008 "," 8,744 "," 8,709 "," 8,638 "," 8,601 "," 8,505 "
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos," 6,919 "," 7,170 "," 7,313 "," 7,382 "," 7,433 "," 7,500 "," 7,372 "," 7,305 "," 7,286 "," 7,259 "," 7,294 "
North Okanagan,RCMP Municipal,Spallumcheen Mun, .. , - , - , - , - , - , - , - ," 5,106 "," 5,083 "," 5,185 "
Squamish Lillooet,RCMP Municipal,Squamish Mun," 15,291 "," 15,444 "," 15,821 "," 16,084 "," 16,474 "," 16,881 "," 17,360 "," 18,053 "," 18,719 "," 19,131 "," 19,628 "
Squamish Lillooet,RCMP Provincial,Squamish Prov," 1,989 "," 1,990 "," 2,003 "," 1,977 "," 1,960 "," 1,950 "," 1,927 "," 1,948 "," 1,974 "," 1,976 "," 1,959 "
Kitimat Stikine,RCMP Provincial,Stewart Prov, 601 , 550 , 496 , 479 , 507 , 487 , 490 , 495 , 432 , 434 , 425 
Squamish Lillooet,"First Nations 
Aboriginal Police Service",Stl'atl'imx FNAPS," 2,871 "," 2,897 "," 2,991 "," 2,954 "," 2,951 "," 2,946 "," 2,914 "," 2,988 "," 3,122 "," 3,120 "," 3,055 "
Okanagan Similkameen,RCMP Municipal,Summerland Mun," 10,804 "," 10,885 "," 10,896 "," 11,080 "," 11,282 "," 11,472 "," 11,295 "," 11,376 "," 11,242 "," 11,123 "," 11,126 "
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov," 18,664 "," 19,098 "," 19,430 "," 19,522 "," 19,625 "," 19,622 "," 19,456 "," 19,525 "," 19,533 "," 19,529 "," 19,601 "
Metro Vancouver,RCMP Municipal,Surrey Mun," 395,416 "," 404,742 "," 412,922 "," 424,999 "," 438,698 "," 453,356 "," 470,649 "," 482,904 "," 493,637 "," 504,603 "," 513,619 "
Bulkley Nechako,RCMP Provincial,Takla Landing Prov, 191 , 190 , 185 , 183 , 184 , 185 , 185 , 186 , 188 , 191 , 196 
Kitimat Stikine,RCMP Municipal,Terrace Mun," 11,763 "," 11,531 "," 11,461 "," 11,261 "," 11,365 "," 11,412 "," 11,562 "," 11,688 "," 11,445 "," 11,458 "," 11,265 "
Kitimat Stikine,RCMP Provincial,Terrace Prov," 7,684 "," 7,615 "," 7,530 "," 7,398 "," 7,543 "," 7,543 "," 7,458 "," 7,436 "," 7,841 "," 7,946 "," 8,215 "
Powell River,RCMP Provincial,Texada Island Prov," 1,041 "," 1,041 "," 1,043 "," 1,031 "," 1,040 "," 1,055 "," 1,050 "," 1,062 "," 1,064 "," 1,064 "," 1,064 "
Thompson Nicola,RCMP Provincial,T'Kumlups Prov," 9,174 "," 7,779 "," 7,858 "," 7,871 "," 8,035 "," 8,170 "," 8,298 "," 8,299 "," 8,366 "," 8,432 "," 8,588 "
Alberni Clayoquot,RCMP Provincial,Tofino Prov," 2,928 "," 3,040 "," 3,096 "," 3,103 "," 3,162 "," 3,186 "," 3,249 "," 3,327 "," 3,385 "," 3,440 "," 3,491 "
Kootenay Boundary,RCMP Provincial,Trail and Greater District," 7,465 "," 7,471 "," 7,241 "," 7,446 "," 7,530 "," 7,614 "," 7,578 "," 7,801 "," 7,748 "," 7,526 "," 7,527 "
Kootenay Boundary,RCMP Municipal,Trail Mun," 10,886 "," 10,907 "," 10,758 "," 10,880 "," 11,081 "," 11,088 "," 11,005 "," 11,089 "," 11,057 "," 10,925 "," 10,882 "
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov, 384 , 377 , 372 , 373 , 370 , 373 , 372 , 372 , 376 , 384 , 391 
Peace River,RCMP Provincial,Tumbler Ridge Prov," 2,308 "," 2,342 "," 2,493 "," 2,528 "," 2,654 "," 2,674 "," 2,694 "," 2,814 "," 2,868 "," 2,897 "," 2,983 "
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov," 2,134 "," 2,106 "," 2,119 "," 2,130 "," 2,167 "," 2,181 "," 2,188 "," 2,240 "," 2,235 "," 2,233 "," 2,230 "
Metro Vancouver,RCMP Provincial,University Prov," 10,881 "," 11,338 "," 11,904 "," 11,943 "," 11,781 "," 11,717 "," 12,753 "," 13,316 "," 14,097 "," 14,781 "," 16,094 "
Fraser Fort George,RCMP Provincial,Valemount Prov," 1,614 "," 1,545 "," 1,610 "," 1,588 "," 1,587 "," 1,603 "," 1,604 "," 1,599 "," 1,626 "," 1,610 "," 1,601 "
Metro Vancouver,Independent Municipal PD,Vancouver Mun," 587,839 "," 593,266 "," 601,006 "," 605,067 "," 604,871 "," 611,642 "," 619,887 "," 620,960 "," 630,816 "," 637,430 "," 642,396 "
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov," 8,471 "," 8,377 "," 8,241 "," 8,245 "," 8,352 "," 8,470 "," 8,468 "," 8,688 "," 8,735 "," 8,794 "," 8,838 "
North Okanagan,RCMP Municipal,Vernon Mun," 35,500 "," 36,185 "," 36,887 "," 37,453 "," 38,162 "," 38,754 "," 38,548 "," 38,914 "," 38,717 "," 38,523 "," 38,861 "
North Okanagan,RCMP Provincial,Vernon Prov," 13,018 "," 13,216 "," 13,524 "," 13,644 "," 11,610 "," 11,753 "," 11,714 "," 11,154 "," 11,287 "," 11,330 "," 11,483 "
Capital,Independent Municipal PD,Victoria Mun," 96,198 "," 97,214 "," 98,177 "," 98,581 "," 98,386 "," 98,886 "," 98,788 "," 98,875 "," 98,847 "," 99,196 "," 99,407 "
Capital,RCMP Municipal,View Royal Mun," 8,458 "," 8,865 "," 9,127 "," 9,111 "," 9,240 "," 9,428 "," 9,520 "," 9,558 "," 10,025 "," 10,524 "," 10,714 "
Cariboo,RCMP Provincial,Wells Prov, 377 , 360 , 358 , 352 , 354 , 342 , 350 , 364 , 355 , 354 , 355 
Central Okanagan,RCMP Municipal,West Kelowna Mun, .. , - , - , - , - ," 26,593 "," 26,355 "," 31,669 "," 31,517 "," 31,931 "," 32,699 "
Capital,RCMP Provincial,West Shore Prov," 8,837 "," 8,947 "," 8,908 "," 8,873 "," 8,913 "," 8,899 "," 9,030 "," 9,017 "," 9,076 "," 9,075 "," 9,179 "
Metro Vancouver,Independent Municipal PD,West Vancouver Mun," 44,367 "," 45,124 "," 45,270 "," 45,202 "," 44,867 "," 45,073 "," 45,748 "," 45,690 "," 45,581 "," 45,282 "," 45,463 "
Squamish Lillooet,RCMP Municipal,Whistler Mun," 10,003 "," 9,538 "," 9,799 "," 9,720 "," 9,631 "," 10,160 "," 10,424 "," 10,333 "," 10,409 "," 10,194 "," 10,447 "
Squamish Lillooet,RCMP Provincial,Whistler Prov, 285 , 288 , 298 , 294 , 294 , 294 , 290 , 299 , 314 , 313 , 306 
Metro Vancouver,RCMP Municipal,White Rock Mun," 18,742 "," 19,049 "," 18,866 "," 18,988 "," 18,889 "," 19,116 "," 19,267 "," 19,327 "," 18,998 "," 19,211 "," 19,197 "
Cariboo,RCMP Municipal,Williams Lake Mun," 11,301 "," 11,137 "," 11,063 "," 11,117 "," 11,168 "," 11,144 "," 11,057 "," 11,164 "," 11,038 "," 10,943 "," 11,003 "
Cariboo,RCMP Provincial,Williams Lake Prov," 13,472 "," 13,299 "," 13,123 "," 12,974 "," 13,086 "," 13,046 "," 12,975 "," 12,899 "," 12,906 "," 12,968 "," 13,019 "
NA,NA,BRITISH COLUMBIA TOTAL," 4,155,017 "," 4,195,764 "," 4,241,691 "," 4,290,988 "," 4,349,412 "," 4,410,679 "," 4,465,924 "," 4,499,139 "," 4,542,508 "," 4,582,625 "," 4,631,302 "
