REGION,TYPE OF POLICING,POLICING JURISDICTION,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Comox Valley,RCMP Municipal,Comox Mun," 11,903 "," 12,255 "," 12,275 "," 12,752 "," 13,327 "," 13,553 "," 13,763 "," 13,785 "," 13,678 "," 13,731 "," 13,862 "
Comox Valley,RCMP Provincial,Comox Valley Prov," 25,089 "," 25,329 "," 25,552 "," 25,490 "," 25,791 "," 26,083 "," 25,974 "," 26,042 "," 26,069 "," 26,041 "," 25,969 "
Metro Vancouver,RCMP Municipal,Coquitlam Mun," 120,120 "," 119,952 "," 119,651 "," 120,802 "," 122,673 "," 125,052 "," 128,844 "," 130,477 "," 133,577 "," 137,866 "," 141,179 "
Metro Vancouver,RCMP Provincial,Coquitlam Prov," 2,372 "," 2,504 "," 2,581 "," 2,677 "," 2,748 "," 2,753 "," 2,770 "," 2,804 "," 2,866 "," 2,864 "," 2,909 "
Comox Valley,RCMP Municipal,Courtenay Mun," 20,960 "," 21,667 "," 22,461 "," 23,250 "," 23,745 "," 23,890 "," 24,108 "," 24,596 "," 24,752 "," 24,653 "," 24,806 "
East Kootenay,RCMP Municipal,Cranbrook Mun," 18,438 "," 18,336 "," 18,471 "," 18,682 "," 19,140 "," 19,496 "," 19,540 "," 19,737 "," 19,857 "," 19,707 "," 19,785 "
East Kootenay,RCMP Provincial,Cranbrook Prov," 6,733 "," 6,764 "," 6,795 "," 6,728 "," 6,770 "," 6,725 "," 6,655 "," 6,529 "," 6,552 "," 6,592 "," 6,592 "
Central Kootenay,RCMP Municipal,Creston Mun, .. , - , - , - , - , - , - , - ," 5,316 "," 5,089 "," 5,030 "
Central Kootenay,RCMP Provincial,Creston Prov," 12,712 "," 12,714 "," 12,747 "," 12,946 "," 13,211 "," 13,257 "," 13,329 "," 13,402 "," 8,112 "," 8,181 "," 8,319 "
Peace River,RCMP Municipal,Dawson Creek Mun," 10,814 "," 10,866 "," 11,085 "," 11,162 "," 11,172 "," 11,158 "," 11,367 "," 11,785 "," 12,019 "," 12,289 "," 12,653 "
Peace River,RCMP Provincial,Dawson Creek Prov," 7,089 "," 6,963 "," 6,879 "," 6,885 "," 6,827 "," 6,864 "," 6,883 "," 6,872 "," 6,946 "," 7,081 "," 7,192 "
Kitimat Stikine,RCMP Provincial,Dease Lake Prov," 1,492 "," 1,472 "," 1,437 "," 1,431 "," 1,281 "," 1,273 "," 1,254 "," 1,246 "," 1,314 "," 1,337 "," 1,368 "
Metro Vancouver,Independent Municipal PD,Delta Mun," 100,584 "," 100,367 "," 100,104 "," 100,201 "," 100,703 "," 101,480 "," 101,846 "," 102,093 "," 102,359 "," 102,154 "," 101,876 "
Cowichan Valley,RCMP Provincial,Duncan Prov," 13,757 "," 13,946 "," 14,239 "," 14,280 "," 14,448 "," 14,510 "," 14,628 "," 14,632 "," 14,597 "," 14,501 "," 14,538 "
East Kootenay,RCMP Provincial,Elk Valley Prov," 13,749 "," 13,565 "," 13,466 "," 13,418 "," 13,583 "," 13,651 "," 13,625 "," 13,805 "," 13,852 "," 13,902 "," 13,988 "
North Okanagan,RCMP Provincial,Enderby Prov," 6,636 "," 6,708 "," 6,810 "," 6,859 "," 6,931 "," 6,964 "," 6,955 "," 6,920 "," 6,864 "," 6,902 "," 6,905 "
Columbia Shuswap,RCMP Provincial,Falkland Prov," 2,867 "," 2,828 "," 2,895 "," 2,894 "," 2,956 "," 2,945 "," 2,875 "," 2,828 "," 2,853 "," 2,861 "," 2,910 "
Bulkley Nechako,RCMP Provincial,Fort St James Prov," 4,336 "," 4,198 "," 4,000 "," 4,035 "," 4,115 "," 4,171 "," 4,222 "," 4,377 "," 4,433 "," 4,504 "," 4,593 "
Peace River,RCMP Municipal,Fort St John Mun," 16,974 "," 17,417 "," 17,924 "," 18,105 "," 18,227 "," 18,637 "," 18,749 "," 19,375 "," 20,026 "," 20,553 "," 21,523 "
Peace River,RCMP Provincial,Fort St John Prov," 14,218 "," 14,034 "," 13,921 "," 13,937 "," 13,905 "," 13,975 "," 13,944 "," 13,925 "," 14,132 "," 14,450 "," 14,682 "
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov," 3,449 "," 3,391 "," 3,293 "," 3,269 "," 3,273 "," 3,279 "," 3,321 "," 3,355 "," 3,374 "," 3,385 "," 3,458 "
Nanaimo,RCMP Provincial,Gabriola Island Prov," 3,798 "," 3,811 "," 3,919 "," 3,965 "," 4,056 "," 4,075 "," 4,103 "," 4,079 "," 4,116 "," 4,120 "," 4,156 "
Columbia Shuswap,RCMP Provincial,Golden Prov," 7,015 "," 6,991 "," 7,071 "," 7,018 "," 7,100 "," 7,082 "," 6,936 "," 6,881 "," 6,902 "," 6,879 "," 6,985 "
Fraser Valley,RCMP Provincial,Hope  Mum," 6,231 "," 6,198 "," 6,242 "," 6,114 "," 6,110 "," 6,141 "," 6,141 "," 5,982 "," 5,867 "," 5,776 "," 5,701 "
Fraser Valley,RCMP Municipal,Hope Prov," 1,130 "," 1,172 "," 1,187 "," 1,179 "," 1,191 "," 1,167 "," 1,152 "," 1,157 "," 1,142 "," 1,152 "," 1,148 "
Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov," 4,908 "," 4,666 "," 4,614 "," 4,481 "," 4,461 "," 4,433 "," 4,492 "," 4,571 "," 4,540 "," 4,537 "," 4,554 "
Peace River,RCMP Provincial,Hudson's Hope Prov," 1,285 "," 1,258 "," 1,238 "," 1,214 "," 1,218 "," 1,224 "," 1,211 "," 1,197 "," 1,214 "," 1,271 "," 1,273 "
Thompson Nicola,RCMP Municipal,Kamloops Mun," 81,408 "," 81,894 "," 83,097 "," 84,341 "," 86,149 "," 87,089 "," 87,071 "," 87,852 "," 87,759 "," 88,394 "," 89,417 "
Central Kootenay,RCMP Provincial,Kaslo Prov," 2,347 "," 2,357 "," 2,370 "," 2,436 "," 2,415 "," 2,394 "," 2,370 "," 2,350 "," 2,360 "," 2,352 "," 2,372 "
